keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Levi's,CHICAGO,108,180100108X 400108X,600 North Michigan Ave,IL,60611
Levi's,San Diego,113,180100113X 400113X,67 Horton Plaza,CA,92101
Levi's,MIAMI,136,180100136X 400136X,826 Collins Avenue,FL,33139
Levi's,PORTLAND,137,180100137X 400137X,2307 NW Westover Road,OR,97210
Levi's,Santa Monica,139,180100139X 400139X,1409 3rd Street Promenade,CA,90401
Levi's,Beverly Hills,141,180100141X 400141X,316 North Beverly Drive,CA,90210
Levi's,Santa Barbara,145,180100145X 400145X,611 State Street,CA,93101
Levi's,IRVINE,146,180100146X 400146X,83 Fortune Drive,CA,92618
Levi's,TORRANCE,149,180100149X 400149X,3525 Carson Street,CA,90503
Levi's,HONOLULU,155,180100155X 400155X,1450 Ala Moana Boulevard,HI,96814
Levi's,Santa Clara,156,180100156X 400156X,2855 Stevens Creek Blvd,CA,95050
Levi's,DENVER,158,180100158X 400158X,3000 E. 1st Avenue,CO,80206
Levi's,EVANSTON,163,180100163X 400163X,808 Church Street,IL,60201
Levi's,Baton Rouge,164,180100164X 400164X,10156 Perkins Rowe,LA,70810
Levi's,CHICAGO,167,180100167X 400167X,1552 North Milwaukee Ave,IL,60622
Levi's,King Of Prussia,169,180100169X 400169X,640 W. DeKalb Pike,PA,19406
Levi's,W Nyack,173,180100173X 400173X,1522 Palisades Drive,NY,10994
Levi's,San Francisco,174,180100174X 400174X,525 Castro Street,CA,94114
Levi's,BLOOMINGTON,175,180100175X 400175X,262 South Avenue,MN,55425
Levi's,Thousand Oaks,176,180100176X 400176X,186 W. Hillcrest Drive,CA,91360
Levi's,DEDHAM,177,180100177X 400177X,214 Legacy Place,MA,2026
Levi's,BOSTON,178,180100178X 400178X,131 Newbury Street,MA,2116
Levi's,MALIBU,179,180100179X 400179X,3862 Cross Creek Road,CA,90265
Levi's,NATICK,180,180100180X 400180X,1245 Worcester Street,MA,1760
Levi's,MCLEAN,182,180100182X 400182X,8086 Tysons Corner Center,VA,22102
Levi's,Las Vegas,184,180100184X 400184X,3200 Las Vegas Boulevard,NV,89109
Levi's,San Francisco,186,180100186X 400186X,815 Market Street,CA,94102
Levi's,TUSTIN,187,180100187X 400187X,2801 El Camino Real,CA,92782
Levi's,NOVI,192,180100192X 400192X,27500 Novi Road,MI,48377
